metric,estimate,classical_SE,df,delta_0.2SD_PRE,posterior_P_within_ROPE
active_time_s,-3.538867875652727,8.631595698999995,15.0,11.800189183821884,0.7752394548500519
total_path_m,-0.4459773572162631,0.48450510788833795,15.0,0.6399983302603902,0.6324898214261252
p95_angspeed_rad_s,0.007591402933459085,0.11200165935964827,15.0,0.02988403981738741,0.2062663748146738
