metric,SECMA_minus_BOX,HC3_SE,df,p,CI95_low,CI95_high,CI90_low,CI90_high,R2,p_Holm
active_time_s,-3.538867875652727,8.704345158182525,15.0,0.6900703302316599,-22.091740407456307,15.014004656150853,-18.79802325127552,11.720287499970066,0.3850388773413891,1.0
total_path_m,-0.4459773572162631,0.5375073216882675,15.0,0.41970967002972087,-1.5916470937637732,0.6996923793312471,-1.3882547586892422,0.49630004425671603,0.35263227188248114,1.0
p95_angspeed_rad_s,0.007591402933459085,0.11750377870435884,15.0,0.9493411613276255,-0.24286197278750302,0.2580447786544212,-0.19839863811943845,0.21358144398635662,0.3092065536002375,1.0
