metric,delta_0.2SD_PRE,estimate,CI90_low,CI90_high,p_lower,p_upper,TOST_equivalent
active_time_s,11.800189183821884,-3.538867875652727,-18.79802325127552,11.720287499970066,0.1788050452614951,0.04919488855433223,False
total_path_m,0.6399983302603902,-0.4459773572162631,-1.3882547586892422,0.49630004425671603,0.36157968064885704,0.030785656225620753,False
p95_angspeed_rad_s,0.02988403981738741,0.007591402933459085,-0.19839863811943845,0.21358144398635662,0.3770889261734527,0.42603659386042375,False
