N_total,metric,margin_SD_PRE,delta_raw,P_TOST_equivalence,MC_replicates
18,active_time_s,0.2,11.800189183821884,0.01,300
18,active_time_s,0.3,17.700283775732824,0.15666666666666668,300
18,active_time_s,0.4,23.600378367643767,0.49333333333333335,300
18,active_time_s,0.5,29.500472959554706,0.7466666666666667,300
18,total_path_m,0.2,0.6399983302603902,0.006666666666666667,300
18,total_path_m,0.3,0.9599974953905852,0.15666666666666668,300
18,total_path_m,0.4,1.2799966605207804,0.4266666666666667,300
18,total_path_m,0.5,1.5999958256509754,0.6933333333333334,300
18,p95_angspeed_rad_s,0.2,0.02988403981738741,0.0,300
18,p95_angspeed_rad_s,0.3,0.04482605972608111,0.0,300
18,p95_angspeed_rad_s,0.4,0.05976807963477482,0.0,300
18,p95_angspeed_rad_s,0.5,0.07471009954346852,0.0,300
30,active_time_s,0.2,11.800189183821884,0.04666666666666667,300
30,active_time_s,0.3,17.700283775732824,0.49666666666666665,300
30,active_time_s,0.4,23.600378367643767,0.8233333333333334,300
30,active_time_s,0.5,29.500472959554706,0.9433333333333334,300
30,total_path_m,0.2,0.6399983302603902,0.06,300
30,total_path_m,0.3,0.9599974953905852,0.4,300
30,total_path_m,0.4,1.2799966605207804,0.7033333333333334,300
30,total_path_m,0.5,1.5999958256509754,0.89,300
30,p95_angspeed_rad_s,0.2,0.02988403981738741,0.0,300
30,p95_angspeed_rad_s,0.3,0.04482605972608111,0.0,300
30,p95_angspeed_rad_s,0.4,0.05976807963477482,0.0,300
30,p95_angspeed_rad_s,0.5,0.07471009954346852,0.0,300
40,active_time_s,0.2,11.800189183821884,0.16,300
40,active_time_s,0.3,17.700283775732824,0.6666666666666666,300
40,active_time_s,0.4,23.600378367643767,0.9266666666666666,300
40,active_time_s,0.5,29.500472959554706,0.9666666666666667,300
40,total_path_m,0.2,0.6399983302603902,0.08,300
40,total_path_m,0.3,0.9599974953905852,0.49,300
40,total_path_m,0.4,1.2799966605207804,0.8266666666666667,300
40,total_path_m,0.5,1.5999958256509754,0.97,300
40,p95_angspeed_rad_s,0.2,0.02988403981738741,0.0,300
40,p95_angspeed_rad_s,0.3,0.04482605972608111,0.0,300
40,p95_angspeed_rad_s,0.4,0.05976807963477482,0.0,300
40,p95_angspeed_rad_s,0.5,0.07471009954346852,0.0,300
60,active_time_s,0.2,11.800189183821884,0.39666666666666667,300
60,active_time_s,0.3,17.700283775732824,0.8466666666666667,300
60,active_time_s,0.4,23.600378367643767,0.9766666666666667,300
60,active_time_s,0.5,29.500472959554706,0.9966666666666667,300
60,total_path_m,0.2,0.6399983302603902,0.21333333333333335,300
60,total_path_m,0.3,0.9599974953905852,0.6233333333333333,300
60,total_path_m,0.4,1.2799966605207804,0.9466666666666667,300
60,total_path_m,0.5,1.5999958256509754,0.9933333333333333,300
60,p95_angspeed_rad_s,0.2,0.02988403981738741,0.0,300
60,p95_angspeed_rad_s,0.3,0.04482605972608111,0.0,300
60,p95_angspeed_rad_s,0.4,0.05976807963477482,0.0,300
60,p95_angspeed_rad_s,0.5,0.07471009954346852,0.0033333333333333335,300
80,active_time_s,0.2,11.800189183821884,0.54,300
80,active_time_s,0.3,17.700283775732824,0.96,300
80,active_time_s,0.4,23.600378367643767,1.0,300
80,active_time_s,0.5,29.500472959554706,1.0,300
80,total_path_m,0.2,0.6399983302603902,0.25666666666666665,300
80,total_path_m,0.3,0.9599974953905852,0.7666666666666667,300
80,total_path_m,0.4,1.2799966605207804,0.97,300
80,total_path_m,0.5,1.5999958256509754,1.0,300
80,p95_angspeed_rad_s,0.2,0.02988403981738741,0.0,300
80,p95_angspeed_rad_s,0.3,0.04482605972608111,0.0,300
80,p95_angspeed_rad_s,0.4,0.05976807963477482,0.0,300
80,p95_angspeed_rad_s,0.5,0.07471009954346852,0.006666666666666667,300
120,active_time_s,0.2,11.800189183821884,0.7733333333333333,300
120,active_time_s,0.3,17.700283775732824,1.0,300
120,active_time_s,0.4,23.600378367643767,1.0,300
120,active_time_s,0.5,29.500472959554706,1.0,300
120,total_path_m,0.2,0.6399983302603902,0.36666666666666664,300
120,total_path_m,0.3,0.9599974953905852,0.8833333333333333,300
120,total_path_m,0.4,1.2799966605207804,0.9966666666666667,300
120,total_path_m,0.5,1.5999958256509754,1.0,300
120,p95_angspeed_rad_s,0.2,0.02988403981738741,0.0,300
120,p95_angspeed_rad_s,0.3,0.04482605972608111,0.0,300
120,p95_angspeed_rad_s,0.4,0.05976807963477482,0.0,300
120,p95_angspeed_rad_s,0.5,0.07471009954346852,0.07,300
200,active_time_s,0.2,11.800189183821884,0.9233333333333333,300
200,active_time_s,0.3,17.700283775732824,0.9933333333333333,300
200,active_time_s,0.4,23.600378367643767,1.0,300
200,active_time_s,0.5,29.500472959554706,1.0,300
200,total_path_m,0.2,0.6399983302603902,0.53,300
200,total_path_m,0.3,0.9599974953905852,0.9966666666666667,300
200,total_path_m,0.4,1.2799966605207804,1.0,300
200,total_path_m,0.5,1.5999958256509754,1.0,300
200,p95_angspeed_rad_s,0.2,0.02988403981738741,0.0,300
200,p95_angspeed_rad_s,0.3,0.04482605972608111,0.0,300
200,p95_angspeed_rad_s,0.4,0.05976807963477482,0.06,300
