phase,metric,n_pairs,ICC_A1,Pearson_r,mean_abs_difference
PRE,active_time_s,15,0.4842024637131677,0.565064217819493,48.52079999999999
PRE,total_path_m,15,0.7376430716815722,0.7490164047348556,1.9554579846371043
PRE,p95_angspeed_rad_s,15,0.6331410161906307,0.6580090900441208,0.12005407835514649
POST,active_time_s,15,0.6889991443837287,0.7839144874228418,15.329133333333335
POST,total_path_m,15,0.3639586580994206,0.36580176202717773,1.0929790782889457
POST,p95_angspeed_rad_s,15,0.9227172408058887,0.9616622516125365,0.0922880860485839
