group,trials,median_effective_hz,mean_effective_hz,median_jitter_ms,p95_jitter_ms,trials_with_gap,max_gap_s
BOX,34,90.90909090912662,90.90909090911885,0.8218949878989437,0.8903860143629287,1,2.035000000000011
SECMA,32,90.90909090912662,90.9090909091202,0.8096868099806027,0.8851010982582282,3,18.71799999999999
